Metric,Value
Precision,0.9978308026030369
Recall,0.9956709956709957
F1 Score,0.9967497291440953
Accuracy,0.9967444384156267
ROC AUC,0.9999764472016921
Loss,0.008000024088299045
Average Pre-processing Time,-1.0
Average Inference Time,3.237951985533575e-05
