Metric,Value
Precision,0.7212543554006968
Recall,0.672077922077922
F1 Score,0.6957983193277311
Accuracy,0.705371676614216
ROC AUC,0.7807116713536735
Loss,0.5625830563125102
Average Pre-processing Time,-1.0
Average Inference Time,9.673351964676309e-06
