Metric,Value
Precision,0.7009456264775413
Recall,0.6417748917748918
F1 Score,0.6700564971751413
Accuracy,0.6831253391209984
ROC AUC,0.7637842752097377
Loss,0.5688562470615088
Average Pre-processing Time,-1.0
Average Inference Time,3.4200064979424894e-06
