Metric,Value
Precision,0.9623250807319699
Recall,0.9675324675324676
F1 Score,0.9649217485159202
Accuracy,0.9647314161692893
ROC AUC,0.9953094602169684
Loss,0.08673644481225483
Average Pre-processing Time,-1.0
Average Inference Time,1.605373326682941e-05
