timestamp,accX_l,accY_l,accZ_l,gyrX_l,gyrY_l,gyrZ_l,accX_r,accY_r,accZ_r,gyrX_r,gyrY_r,gyrZ_r
695.65,26.43,-4.14,-113.74,0.0,0.01,0.02,24.52,-7.21,-113.67,-0.05,-0.06,0.0
705.55,25.86,-4.4,-113.71,0.0,0.02,0.02,24.8,-7.44,-113.89,-0.05,-0.06,0.0
715.44,25.6,-4.49,-113.72,0.0,0.02,0.02,24.92,-7.41,-114.18,-0.05,-0.06,0.0
725.34,25.71,-4.35,-113.79,0.0,0.01,0.02,24.84,-7.09,-114.56,-0.05,-0.06,0.0
735.24,26.05,-4.17,-113.7,0.0,0.01,0.02,24.6,-7.02,-114.66,-0.05,-0.06,0.0
745.14,26.69,-3.94,-113.4,0.0,0.01,0.02,24.16,-7.3,-114.39,-0.05,-0.06,0.0
755.04,26.67,-3.94,-113.12,0.0,0.01,0.02,24.18,-7.41,-114.26,-0.05,-0.06,0.0
764.94,25.7,-4.27,-112.87,0.0,0.01,0.02,24.87,-7.25,-114.34,-0.05,-0.06,0.0
774.84,25.23,-4.46,-112.75,-0.0,0.01,0.02,25.1,-7.18,-114.43,-0.05,-0.06,0.0
784.74,25.57,-4.42,-112.82,-0.01,0.02,0.02,24.61,-7.23,-114.52,-0.05,-0.07,0.0
794.64,26.03,-4.21,-113.01,-0.01,0.02,0.02,24.38,-7.34,-114.47,-0.05,-0.07,0.0
804.54,26.72,-3.71,-113.42,-0.01,0.01,0.02,24.6,-7.54,-114.17,-0.05,-0.06,0.0
814.43,26.87,-3.52,-113.62,-0.01,0.01,0.02,24.77,-7.66,-113.9,-0.05,-0.06,0.0
824.33,26.01,-3.93,-113.4,-0.0,0.01,0.02,24.82,-7.59,-113.7,-0.05,-0.07,0.0
834.23,25.52,-4.22,-113.14,0.0,0.01,0.02,24.87,-7.6,-113.76,-0.05,-0.07,0.0
844.13,25.78,-4.29,-112.79,0.0,0.01,0.02,24.89,-7.77,-114.33,-0.05,-0.07,0.0
854.03,26.13,-4.33,-112.68,0.0,0.01,0.02,24.84,-7.74,-114.6,-0.05,-0.07,0.0
863.93,26.67,-4.28,-113.13,0.0,0.01,0.02,24.59,-7.27,-114.22,-0.06,-0.06,0.0
873.83,26.77,-4.21,-113.43,0.0,0.01,0.02,24.39,-7.02,-113.97,-0.06,-0.06,0.0
883.73,25.81,-4.08,-113.36,0.0,0.01,0.03,24.27,-7.32,-114.09,-0.05,-0.06,0.0
893.63,25.02,-3.99,-113.2,0.0,0.01,0.03,24.34,-7.55,-114.16,-0.05,-0.06,0.0
903.53,24.71,-4.0,-112.77,0.0,0.01,0.02,24.93,-7.57,-114.06,-0.06,-0.06,0.0
913.42,24.83,-4.01,-112.4,0.0,0.01,0.02,25.33,-7.48,-113.89,-0.06,-0.06,0.0
923.32,26.32,-4.01,-112.26,0.0,0.01,0.02,25.12,-7.06,-113.48,-0.05,-0.06,0.0
933.22,27.27,-4.01,-112.18,0.0,0.01,0.02,24.95,-6.74,-113.3,-0.05,-0.06,0.0
943.12,26.37,-4.0,-112.36,0.0,0.01,0.02,24.93,-6.75,-113.88,-0.05,-0.07,0.0
953.02,25.63,-4.04,-112.57,0.0,0.01,0.02,24.88,-6.8,-114.43,-0.05,-0.07,0.0
962.92,25.48,-4.26,-112.85,0.0,0.01,0.02,24.76,-7.01,-114.85,-0.05,-0.06,0.0
972.82,25.56,-4.41,-113.13,0.0,0.01,0.02,24.65,-7.17,-115.1,-0.05,-0.06,0.0
982.72,26.64,-4.23,-113.41,0.0,0.02,0.02,24.63,-7.13,-114.63,-0.05,-0.06,0.0
992.62,27.37,-4.06,-113.56,0.0,0.02,0.02,24.6,-7.1,-114.26,-0.05,-0.06,0.0
1002.52,26.31,-3.9,-113.06,0.0,0.01,0.01,24.53,-7.13,-114.44,-0.05,-0.07,0.0
1012.41,25.33,-3.82,-112.7,0.0,0.01,0.01,24.51,-7.17,-114.55,-0.05,-0.07,0.0
1022.31,24.83,-4.25,-113.2,0.0,0.01,0.01,24.79,-7.24,-114.23,-0.05,-0.06,0.0
1032.21,24.54,-4.58,-113.63,0.0,0.01,0.01,24.99,-7.28,-113.93,-0.05,-0.06,0.0
1042.11,25.75,-4.21,-113.57,0.0,0.01,0.01,24.62,-7.16,-113.82,-0.05,-0.06,0.0
1052.01,26.8,-3.88,-113.51,0.0,0.01,0.01,24.31,-7.06,-113.75,-0.05,-0.06,0.0
1061.91,26.43,-4.03,-113.43,0.0,0.01,0.02,24.43,-7.3,-113.92,-0.05,-0.06,0.0
1071.81,26.06,-4.16,-113.36,0.0,0.01,0.02,24.54,-7.49,-114.06,-0.05,-0.06,0.0
1081.71,25.67,-4.22,-113.3,0.0,0.01,0.02,24.48,-7.25,-113.87,-0.05,-0.07,0.0
1091.61,25.34,-4.27,-113.24,0.0,0.01,0.01,24.43,-7.02,-113.69,-0.05,-0.07,0.0
1101.51,25.9,-4.27,-113.29,0.0,0.01,0.01,24.56,-7.02,-113.76,-0.05,-0.07,0.0
1111.4,26.41,-4.28,-113.31,0.0,0.01,0.01,24.68,-7.02,-113.83,-0.05,-0.07,0.0
1121.3,25.74,-4.56,-112.85,0.0,0.01,0.01,24.7,-7.06,-113.85,-0.05,-0.07,0.0
1131.2,25.1,-4.84,-112.41,0.0,0.01,0.01,24.72,-7.09,-113.87,-0.05,-0.07,0.0
1141.1,26.22,-4.64,-113.24,0.0,0.01,0.01,24.52,-6.91,-113.72,-0.05,-0.07,0.0
1151.0,27.33,-4.44,-114.08,0.0,0.01,0.01,24.32,-6.74,-113.57,-0.05,-0.07,0.0
