Metric,Value
Precision,0.8482758620689655
Recall,0.9761904761904762
F1 Score,0.9077490774907749
Accuracy,0.9077490774907749
Loss,0.1921515017747879
Training Accuracy,0.9390243887901306
Training Loss,0.31479203701019287
Average Pre-processing Time,0.006880562686355862
Average Inference Time,0.013125429294206119
