Metric,Value
Precision,0.9682539682539683
Recall,0.9682539682539683
F1 Score,0.9682539682539683
Accuracy,0.9704797047970479
Loss,0.09548499435186386
Training Accuracy,0.9878048896789551
Training Loss,0.24218206107616425
Average Pre-processing Time,0.07423721474303296
Average Inference Time,0.009850214328273196
