Metric,Value
Precision,0.8776978417266187
Recall,0.9682539682539683
F1 Score,0.9207547169811321
Accuracy,0.922509225092251
Loss,0.1619793325662613
Training Accuracy,0.9512194991111755
Training Loss,0.28783944249153137
Average Pre-processing Time,0.05187719813465367
Average Inference Time,0.013018688152636989
