Metric,Value
Precision,0.9924242424242424
Recall,0.9924242424242424
F1 Score,0.9924242424242424
Accuracy,0.9924036896364623
ROC AUC,0.9998268869324365
Loss,0.07157565281366726
Average Pre-processing Time,-1.0
Average Inference Time,4.4036545445591745e-05
