Metric,Value
Precision,0.8216704288939052
Recall,0.7878787878787878
F1 Score,0.8044198895027624
Accuracy,0.8079218665219751
ROC AUC,0.8965360899528472
Loss,0.5006165019988436
Average Pre-processing Time,-1.0
Average Inference Time,2.441701200819507e-05
