Metric,Value
Precision,0.7908415841584159
Recall,0.6915584415584416
F1 Score,0.7378752886836027
Accuracy,0.75366250678242
ROC AUC,0.8429228551644221
Loss,0.5288974188802066
Average Pre-processing Time,-1.0
Average Inference Time,1.5745587279081217e-05
