Metric,Value
Precision,0.9956284153005465
Recall,0.9859307359307359
F1 Score,0.9907558455682436
Accuracy,0.9907759088442757
ROC AUC,0.9997444521383586
Loss,0.07231825510783486
Average Pre-processing Time,-1.0
Average Inference Time,3.815382896915959e-05
