Metric,Value
Precision,0.9383634431455898
Recall,0.9556277056277056
F1 Score,0.946916890080429
Accuracy,0.9462832338578405
ROC AUC,0.9905211763209588
Loss,0.22779976804732607
Average Pre-processing Time,-1.0
Average Inference Time,4.231134188026432e-05
