Metric,Value
Precision,0.7101449275362319
Recall,0.6893939393939394
F1 Score,0.6996155958264689
Accuracy,0.7032013022246337
ROC AUC,0.7940943713522604
Loss,0.5378065817643208
Average Pre-processing Time,-1.0
Average Inference Time,6.368363349902131e-05
