Metric,Value
Precision,0.9521218715995647
Recall,0.946969696969697
F1 Score,0.9495387954422138
Accuracy,0.9495387954422138
ROC AUC,0.9914420907348003
Loss,0.23526929980250505
Average Pre-processing Time,-1.0
Average Inference Time,4.5769769603379446e-05
