Metric,Value
Precision,0.8883034773445733
Recall,0.9123376623376623
F1 Score,0.9001601708489055
Accuracy,0.898534997287032
ROC AUC,0.9655552101145138
Loss,0.35479377223771497
Average Pre-processing Time,-1.0
Average Inference Time,5.5790335602949185e-05
