Metric,Value
Precision,1.0
Recall,1.0
F1 Score,1.0
Accuracy,1.0
Loss,2.1198914055275964e-06
Training Accuracy,1.0
Training Loss,3.382555860298453e-06
Average Pre-processing Time,0.007296404940016726
Average Inference Time,0.04602057996549105
