Metric,Value
Precision,0.7297297297297297
Recall,0.8571428571428571
F1 Score,0.7883211678832117
Accuracy,0.7859778597785978
Loss,0.39032116532325745
Training Accuracy,0.7844588344125809
Training Loss,0.4065110375863482
Average Pre-processing Time,0.007822187165536823
Average Inference Time,0.006676357170752494
