Metric,Value
Precision,0.9920634920634921
Recall,0.9920634920634921
F1 Score,0.9920634920634921
Accuracy,0.992619926199262
Loss,0.048975370824337006
Training Accuracy,0.9925994449583718
Training Loss,0.05212780422807622
Average Pre-processing Time,0.05064249038696289
Average Inference Time,0.018802568921303837
