Metric,Value
Precision,0.8676470588235294
Recall,0.9365079365079365
F1 Score,0.9007633587786259
Accuracy,0.9040590405904059
Loss,0.3073636293411255
Training Accuracy,0.8825161887141536
Training Loss,0.3296035719315188
Average Pre-processing Time,0.05119874491494083
Average Inference Time,0.009766484538567462
